policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
heuristic,2.000000000000001,39.773815665699175,1.9733947246635053,-0.16505060817915504,0.11781110151391617,0.3214281294525657,0.02089477456522017,0.22921239928399728,0.2187965180480584,0.05,0.0,0.3507015216195115,0.01130921671504126,-2.857932200626405,-0.3050235674973114,-0.225625,0.0,0.0,0.0
heuristic,2.0500000000000007,40.767051909119886,1.8500744680182355,-0.13598645437800194,0.18296643670483598,0.34163748716819164,0.02142854196350438,0.28748681986731417,0.27418390597212366,0.05,0.0,0.22112443641477952,-0.03835259545599427,-2.8694199121708586,-0.5733045134976562,-0.225625,0.0,0.0,0.0
heuristic,2.1000000000000005,41.763207457282846,1.753879903032272,-0.08688166267337592,0.14111748810580346,0.38722390296705184,0.022775832477879444,0.09307362964173652,0.08252896006715796,0.15000000000000002,1.0,0.2586989182808268,-0.08816037286414229,-2.5954263809678975,-0.4868666118162809,-0.18062499999999998,0.0,0.0,0.0
heuristic,2.1500000000000004,42.76037832274461,1.6779306197329735,-0.039925475595057144,0.08289476184757841,0.4719372954315545,0.025814926864470122,-0.006761048840072226,0.0013829450860633613,0.25,1.0,0.45043508553027833,-0.13801891613723036,-2.056655677266959,-0.15570661633569866,-0.140625,0.0,0.0,0.0
heuristic,2.2,43.75896896113037,1.6226841804091865,-0.0075773225164677965,0.033098074069096095,0.6096542281913111,0.03146248636210363,-0.07327562930386985,-0.03661728882077914,0.35,1.0,0.7942241111645068,-0.18794844805651856,-1.7565247502632273,-0.0,-0.10562500000000001,0.0,0.0,0.0
heuristic,2.25,44.758733598530426,1.587834648736169,0.008102288284544096,-0.0031339553691971875,0.814379698335087,0.04064361521275407,-0.13117895168826746,-0.053858796582807775,0.44999999999999996,1.0,1.287740664623373,-0.23793667992652132,-1.6602187461478264,-0.0,-0.07562500000000001,0.0,0.0,0.0
heuristic,2.3,45.75892206161196,1.5686258481172761,0.010299985515986865,-0.024794828773241854,1.1007510709732868,0.054291979889005804,-0.18884586772857234,-0.05512005153890438,0.5499999999999999,1.0,1.924238161612887,-0.2879461030805981,-1.5986329361206613,-0.0,-0.05062500000000002,0.0,0.0,0.0
heuristic,2.3499999999999996,46.75908456716662,1.5579991838424594,0.003881258676041839,-0.030546602159408492,1.4850586714543244,0.07338340473155246,-0.246566565644431,-0.03859908490004178,0.6499999999999999,1.0,2.695243970750823,-0.3379542283583309,-1.5571099841160272,-0.0,-0.030625000000000017,0.0,0.0,0.0
heuristic,2.3999999999999995,47.75912291159903,1.550060484433205,-0.005919607107046403,-0.01859004369348529,1.986624497447832,0.09900391143028829,-0.3044151816556359,-0.0018508618411928052,0.7499999999999999,1.0,3.5941290319857417,-0.38795614557995145,-1.5243858420584215,-0.0,-0.015625000000000014,0.0,0.0,0.0
heuristic,2.4499999999999993,48.75909593673313,1.5425438578529236,-0.013683663727397507,0.014187219590762926,2.586624497447832,0.1324416331631888,-0.35,0.060075388188710416,0.8499999999999999,1.0,4.618446279452912,-0.4379547968366566,-1.4974779912552523,-0.0,-0.00562500000000001,0.0,0.0,0.0
heuristic,2.499999999999999,49.75913372866923,1.5384635756161607,-0.013437865469217538,0.0692423578883739,2.468910836960779,0.17244163316318878,-0.35,0.14631955150502926,0.9499999999999998,1.0,5.771529415081426,-0.48795668643346135,-1.4866742175473682,-0.0,-0.0006250000000000039,0.0,0.0,0.0
heuristic,2.549999999999999,50.75933364993084,1.5466211029536576,0.0012473637780462746,0.10897223201712863,2.0359955383428767,0.16459405579738526,-0.35,0.16459405579738526,1.0,0.5000000000000016,7.062898193863944,-0.5379666824965419,-1.4163556695564932,-0.0,-0.0,0.0,0.0,0.0
heuristic,2.5999999999999988,51.75930231892559,1.5723625489238362,0.029411262854746816,0.12012256696396051,1.5176189873785138,0.13573303588952512,-0.35,0.13573303588952512,1.0,0.0,8.498049866668055,-0.5879651159462795,58.564463623615545,-0.0,-0.0,0.0,0.0,1.0
